,title,artist,top genre,year,Key,bpm,nrgy,dnce,dB,live,val,dur,acous,spch
10,Let Your Love Flow,Bellamy Brothers,Country,1976,Eb Major,109,55,68,-14.69,14,95,2:46,6,3
,1977,,,,,,,,,,,,,
1,Hotel California,Eagles,Pop,1976,D Major,147,51,58,-9.48,6,61,6:31,1,3
2,How Deep Is Your Love?,Bee Gees,Rock,1977,F Minor,105,49,60,-5.82,19,54,3:59,6,3
3,Ma Baker,Boney M,Dance,1977,D Minor,129,75,75,-6.32,28,90,4:36,4,12
4,I Feel Love,Donna Summer,Disco,1977,C Major,127,71,67,-15.58,9,96,5:51,3,4
5,Mull Of Kintyre,Wings,Pop,1977,D Major,91,30,35,-13.78,12,42,4:42,0,3
6,"Yes Sir, I Can Boogie",Baccara,Pop,1977,D Major,123,76,45,-8.34,15,51,4:12,11,7
7,You Light Up My Life,Debbie Boone,Christian,1977,D Major,78,37,33,-10.06,26,7,3:38,83,3
8,Don’t Let Me Be Misunderstood,Santa Esmerelda,Disco,1977,A Minor,123,80,66,-9.62,18,50,3:36,2,8
9,We Are The Champions,Queen,Pop,1977,G Minor,64,46,27,-6.95,12,17,2:59,38,3
10,When I Need You,Leo Sayer,Pop,1976,C# Major,110,20,61,-16.46,22,17,4:12,72,4
,1978,,,,,,,,,,,,,
1,Stayin’ Alive,Bee Gees,Disco,1977,Bb Minor,103,90,69,-6.06,8,91,4:10,9,4
2,You’re The One That I Want ,John Travolta & Oliva Newton-Jonh,Musical Theater,1978,C Major,107,61,76,-11.40,10,82,2:49,28,6
3,YMCA,The Village People,Disco,1978,F# Major,127,97,72,-4.52,12,73,4:44,6,14
4,Night Fever ,Bee Gees,Musical Theater,1977,C# Minor,109,78,73,-7.06,10,84,3:32,2,3
5,Rivers Of Babylon,Boney M,Reggae,1978,G Major,115,85,73,-7.03,44,74,4:21,13,4
6,Baker Street,Gerry Rafferty,Pop,1978,G Major,114,35,50,-14.00,26,42,6:05,9,3
7,It’s A Heartache,Bonnie Tyler,Pop,1976,C Major,119,67,54,-7.36,27,55,3:28,3,3
8,Kiss You All Over,Exile,Country,1978,C Major,103,30,67,-16.99,10,57,4:56,9,3
9,Miss You,The Rolling Stones,Pop,1978,A Minor,110,71,80,-4.75,34,85,3:01,44,4
10,Grease,Frankie Valli,Musical Theater,1978,A Major,110,37,82,-12.12,9,85,3:22,25,7
,1979,,,,,,,,,,,,,
1,Heart Of Glass,Blondie,Alternative,1978,E Major,115,65,77,-6.11,8,69,4:12,5,4
2,Le Freak,Chic,Disco,1978,G Major,119,64,91,-11.32,6,90,5:31,3,6
3,I Will Survive,Gloria Gaynor,Disco,1978,A Minor,117,78,77,-9.57,30,80,4:56,2,5
