,title,artist,top genre,year,Key,bpm,nrgy,dnce,dB,live,val,dur,acous,spch
5,Sexy Chick,David Guetta &. Akon,Electronic,2009,B Minor,130,56,81,-7.69,11,80,3:14,8,5
6,Right Round,Flo Rida &. Ke$ha,Hip-Hop,2009,G Major,125,67,72,-6.85,23,71,3:24,1,6
7,Halo,Beyoncé,Hip-Hop,2008,B Minor,80,72,51,-5.91,6,47,4:21,27,6
8,Single Ladies,Beyoncé,Pop,2008,C# Major,193,58,43,-5.29,19,27,3:13,4,30
9,Meet Me Halfway,The Black Eyed Peas,Hip-Hop,2009,B Minor,130,63,80,-6.84,30,39,4:44,0,9
10,Empire State Of Mind,Jay-Z &. Alicia Keys,R&B,2009,B Major,174,96,50,-1.53,27,82,4:36,3,38
,2010,,,,,,,,,,,,,
1,Love The Way You Lie,Eminem &. Rihanna,Hip-Hop,2010,Bb Major,87,93,75,-5.03,52,64,4:23,24,23
2,California Gurls,Katy Perry &. Snoop Dogg,Pop,2010,C Major,125,75,79,-4.26,22,43,3:53,0,5
3,Tik Tok,Ke$ha,Pop,2009,D Minor,120,84,76,-2.72,29,71,3:19,10,14
4,Rude Boy,Rihanna,Pop,2009,B Major,174,75,56,-4.50,8,81,3:42,11,13
5,Just The Way You Are,Bruno Mars,Hip-Hop,2010,F Major,109,84,64,-5.38,6,42,3:40,1,4
6,OMG,Usher &. will.i.am,R&B,2010,E Minor,130,75,78,-5.81,36,33,4:29,20,3
7,Only Girl (In The World),Rihanna,Pop,2010,B Minor,126,71,79,-4.23,6,64,3:55,11,4
8,The Time (Dirty Bit),Black Eyed Peas,Hip-Hop,2010,F# Minor,128,81,82,-7.80,60,44,5:07,7,7
9,Telephone,Lady GaGa &. Beyoncé,Electronic,2009,Eb Major,122,84,82,-5.90,11,72,3:40,1,4
10,Not Afraid,Eminem,Hip-Hop,2010,C Minor,115,95,86,-1.19,21,68,4:10,53,24
,2011,,,,,,,,,,,,,
1,Rolling In The Deep,Adele,Pop,2011,G# Major,105,77,73,-5.11,5,51,3:48,14,3
2,Someone Like You,Adele,Pop,2011,A Major,135,32,55,-8.25,10,29,4:45,89,3
3,Party Rock Anthem,LMFAO &. Lauren Bennett & GoonRock,Electronic,2010,F Minor,130,74,75,-4.17,27,35,4:24,2,16
4,We Found Love,Rihanna &. Calvin Harris,Dance,2011,C# Major,128,77,74,-4.49,11,60,3:36,3,4
5,Grenade,Bruno Mars,Pop,2011,D Minor,98,39,64,-6.31,9,36,4:06,82,3
6,Moves Like Jagger,Maroon 5 &. Christina Aguilera,Pop,2010,B Minor,128,76,72,-4.48,31,62,3:21,1,5
7,Born This Way,Lady GaGa,Pop,2011,B Major,124,83,59,-5.10,33,51,4:20,0,15
8,On The Floor,Jennifer Lopez &. Pitbull,Dance,2011,Eb Minor,130,78,73,-5.20,7,59,4:44,11,5
9,Give Me Everything,"Pitbull &. Ne-Yo, Afrojack & Nayer",Dance,2011,G# Major,129,93,67,-3.23,11,52,4:12,18,17
10,Firework,Katy Perry,Pop,2010,G# Major,124,83,64,-5.04,11,65,3:47,14,5
,2012,,,,,,,,,,,,,
1,Somebody That I Used To Know,Gotye &. Kimbra,Pop,2011,C Major,129,22,85,-19.66,11,78,4:04,50,4
2,Call Me Maybe,Carly Rae Jepsen,Pop,2012,G Major,120,58,78,-6.55,11,66,3:13,1,4
3,Gangnam Style,PSY,K-Pop,2012,B Minor,132,94,73,-2.87,9,75,3:39,0,29
4,We Are Young,fun. &. Janelle Monáe,Alternative,2011,Bb Major,184,64,38,-5.58,8,74,4:10,2,8
5,Diamonds,Rihanna,Pop,2012,B Minor,92,67,55,-6.04,14,41,3:45,0,4
6,Payphone,Maroon 5 &. Wiz Khalifa,Pop,2012,E Major,110,76,74,-4.83,37,52,3:51,1,4
7,Locked Out Of Heaven,Bruno Mars,Pop,2012,F Major,144,70,73,-4.13,28,87,3:53,6,5
8,Whistle,Flo Rida,Hip-Hop,2012,C Major,104,94,75,-5.75,29,74,3:45,2,5
9,Skyfall,Adele,Film OST,2012,C Minor,76,55,35,-6.86,11,8,4:46,42,3
10,Good Feeling,Flo Rida,Dance,2011,C# Minor,128,89,71,-4.44,31,68,4:08,6,7
,2013,,,,,,,,,,,,,
1,Blurred Lines,Robin Thicke &. T.I. & Pharrell,Pop,2013,G Major,120,60,85,-4.76,8,84,4:23,0,4
2,Thrift Shop,Macklemore & Ryan Lewis &. Wanz,Hip-Hop,2012,F# Minor,95,53,78,-6.99,5,67,3:55,6,29
3,Wake Me Up,Avicii,Electronic,2013,D Major,124,78,53,-5.70,16,64,4:06,0,5
4,Roar,Katy Perry,Pop,2013,G Minor,90,78,67,-4.38,49,44,3:43,1,3
5,Royals,Lorde,Alternative,2013,G Major,85,14,75,-24.75,12,20,4:03,13,10
6,Get Lucky,Daft Punk &. Pharrell Williams,Electronic,2013,F# Minor,116,79,81,-9.40,7,86,6:09,4,4
7,Wrecking Ball,Miley Cyrus,Pop,2013,F Major,120,42,53,-6.26,11,35,4:41,41,3
8,Just Give Me A Reason,Pink &. Nate Ruess,Pop,2012,D Major,95,45,78,-11.69,12,51,4:03,40,5
9,The Monster,Eminem &. Rihanna,Hip-Hop,2013,C# Minor,110,85,78,-3.68,12,62,4:10,5,7
10,Mirrors,Justin Timberlake,Dance,2013,F Minor,77,51,57,-6.66,9,51,8:04,23,5
,2014,,,,,,,,,,,,,
1,Happy,Pharrell Williams,Pop,2014,F Minor,160,82,65,-4.66,9,96,3:53,22,18
2,All About That Bass,Meghan Trainor,Dance,2014,A Major,134,88,81,-3.72,11,96,3:07,5,5
3,Stay With Me,Sam Smith,Pop,2014,C Major,84,42,42,-6.44,11,18,2:52,59,11
4,Shake It Off,Taylor Swift,Pop,2014,G Major,160,79,65,-5.41,15,94,3:39,6,15
5,Rather Be,Clean Bandit &. Jess Glynne,Dance,2010,B Major,121,59,80,-6.74,19,55,3:47,16,4
6,Thinking Out Loud,Ed Sheeran,Pop,2013,D Major,79,45,78,-6.06,18,59,4:41,47,3
7,Timber,Pitbull &. Ke$ha,Electronic,2012,B Major,130,97,59,-4.11,15,80,4:28,3,10
8,Problem,Ariana Grande &. Iggy Azalea,Pop,2014,C# Minor,103,81,66,-5.35,16,63,3:13,2,15
9,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",Dance,2014,C Minor,150,75,70,-4.45,40,70,3:19,28,9
10,Hey Brother,Avicii,Electronic,2013,G Minor,125,78,55,-4.87,8,46,4:17,3,4
,2015,,,,,,,,,,,,,
1,Uptown Funk,Mark Ronson &. Bruno Mars,Electronic,2014,C Major,115,61,86,-7.22,3,93,4:29,1,8
2,Hello,Adele,Pop,2015,F Minor,79,43,58,-6.13,9,29,4:55,33,3
3,See You Again,Wiz Khalifa &. Charlie Puth,Hip-Hop,2015,Bb Major,80,48,69,-7.50,6,28,3:49,37,8
4,Love Me Like You Do,Ellie Goulding,Pop,2015,G# Major,190,61,26,-6.65,13,28,4:12,25,5
5,Sorry,Justin Bieber,Pop,2015,C Minor,100,76,65,-3.67,30,41,3:20,8,5
6,What Do You Mean?,Justin Bieber,Pop,2015,F Minor,125,57,85,-8.12,8,79,3:28,59,10
7,Cheerleader,OMI,Electronic,2014,E Major,100,74,86,-4.32,18,94,2:54,21,3
8,Can't Feel My Face,The Weeknd,R&B,2015,A Minor,108,78,71,-5.53,9,60,3:33,12,4
9,Lean On,Major Lazer & DJ Snake &. MØ,Electronic,2015,G Minor,98,79,71,-4.60,49,31,2:56,0,6
10,Bad Blood,Taylor Swift &. Kendrick Lamar,Pop,2015,B Minor,170,66,65,-7.39,14,22,3:20,3,11
,2016,,,,,,,,,,,,,
1,One Dance,Drake &. Wizkid & Kyla,Hip-Hop,2016,C# Major,104,63,79,-5.61,33,37,2:53,1,5
2,Cheap Thrills,Sia &. Sean Paul,Pop,2016,F# Minor,90,80,59,-4.93,8,73,3:44,6,22
3,Love Yourself,Justin Bieber,Pop,2015,E Major,100,38,61,-9.83,28,52,3:53,84,44
4,Closer,The Chainsmokers &. Halsey,Electronic,2016,G# Major,95,52,75,-5.60,11,66,4:04,41,3
5,Can't Stop The Feeling,Justin Timberlake,Film OST,2016,C Major,113,83,67,-5.72,19,70,3:56,1,8
6,Don't Let Me Down,The Chainsmokers &. Daya,Electronic,2016,B Major,160,87,53,-5.09,14,42,3:28,16,17
7,Seven Years,Lukas Graham,Pop,2015,Bb Major,120,47,77,-5.83,39,34,3:57,29,5
8,Cold Water,Major Lazer &. Justin Bieber & MØ,Electronic,2016,F# Minor,93,80,61,-5.09,16,50,3:05,7,4
9,Work,Rihanna &. Drake,Pop,2016,B Major,92,53,73,-6.24,9,56,3:39,8,9
10,Pillow Talk,Zayn,Pop,2016,B Major,125,70,58,-4.28,9,44,3:22,12,5
,2017,,,,,,,,,,,,,
1,Shape Of You,Ed Sheeran,Pop,2017,C# Minor,96,65,83,-3.18,9,93,3:53,58,8
2,Despacito,Luis Fonsi & Daddy Yankee &. Bieber,Latin,2017,D Major,178,82,65,-4.35,10,82,3:48,23,17
3,Rockstar,Post Malone &. 21 Savage,Hip-Hop,2018,F Minor,160,52,59,-6.14,13,13,3:38,12,7
4,That's What I Like,Bruno Mars,Pop,2016,C# Major,134,56,85,-4.96,9,86,3:25,1,4
5,Look What You Made Me Do,Taylor Swift,Pop,2017,A Minor,128,71,77,-6.47,13,51,3:31,20,12
6,Humble.,Kendrick Lamar,Hip-Hop,2017,C# Minor,150,62,91,-6.64,10,42,2:57,0,10
7,New Rules,Dua Lipa,Pop,2015,A Minor,116,70,76,-6.02,15,61,3.29,0,7
8,Wild Thoughts,DJ Khaled &. Rihanna & Bryson Tiller,Hip-Hop,2017,G# Major,97,68,60,-3.10,13,64,3:24,3,8
9,I Feel It Coming,The Weeknd &. Daft Punk,Electronic,2016,C Minor,93,81,77,-5.93,9,56,4:29,42,12
10,Stay,Zedd & Alessia Cara,Electronic,2012,G# Major,128,74,60,-3.11,9,46,3:37,11,4
,2018,,,,,,,,,,,,,
1,God's Plan,Drake,Hip-Hop,2018,G Major,77,45,75,-9.21,55,36,3:18,3,11
2,Perfect,Ed Sheeran,Pop,2017,G# Major,95,45,60,-6.31,11,17,4:23,16,2
3,In My Feelings,Drake,Hip-Hop,2013,C# Major,91,63,84,-5.83,40,35,3:37,6,13
4,Havana,Camila Cabello &. Young Thug,Dance,2018,D Major,105,52,77,-4.33,13,39,3:37,18,3
5,One Kiss,Calvin Harris & Dua Lipa,Dance,2015,A Minor,124,86,79,-3.24,8,59,3:34,4,11
6,"Thank U, Next",Ariana Grande,Pop,2018,C# Major,107,65,72,-5.63,10,41,3:27,23,7
7,Shallow,Lady GaGa & Bradley Cooper,Country,2018,G Major,96,39,57,6.36,23,32,3:35,37,3
8,This Is America,Childish Gambino,Hip-Hop,2018,F Major,120,46,85,-6.16,35,55,3:45,12,14
9,Nice For What,Drake,R&B,2018,G# Major,93,91,59,-6.47,12,76,3:30,9,7
10,Girls Like You,Maroon 5 &. Cardi B,Pop,2017,C Major,125,54,85,-6.83,13,45,3:55,57,5
,2019,,,,,,,,,,,,,
1,Old Town Road,Lil Nas X &. Billy Ray Cyrus,Alternative,2019,F# Major,136,62,88,-5.56,11,64,2:37,5,10
2,Bad Guy,Billie Eilish,Alternative,2019,G Major,135,43,70,-10.97,10,56,3:14,33,38
3,Someone You Loved,Lewis Capaldi,Alternative,2018,C# Major,110,41,50,-5.68,11,45,3:02,75,3
4,7 Rings,Ariana Grande,Pop,2019,C# Minor,140,32,78,-10.73,9,33,2:58,59,33
5,Señorita,Shawn Mendes & Camila Cabello,Pop,2018,A Minor,117,54,76,-6.04,9,75,3:10,4,3
6,Truth Hurts,Lizzo,Pop,2016,E Minor,158,62,72,-3.05,12,41,2:53,11,11
7,Dance Monkey,Tones and I,Alternative,2019,F# Minor,98,59,82,-6.40,15,51,3:29,69,9
8,I Don't Care,Ed Sheeran & Justin Bieber,Pop,2019,F# Major,102,68,80,-5.04,9,84,3:39,9,4
9,Without Me,Halsey,Alternative,2018,F# Major,136,49,75,-7.05,9,53,3:21,29,7
10,Sucker,Jonas Brothers,Pop,2019,C# Minor,138,73,84,-5.07,11,95,3:01,4,6
,2020,,,,,,,,,,,,,
1,Blinding Lights,The Weeknd,R&B,2019,C# Major,171,73,52,-5.93,9,34,3:20,0,6
2,Dynamite,BTS,K-Pop,2020,F# Minor,114,77,75,-4.41,9,74,3:19,1,10
3,Savage Love,Jawsh 685 &. Jason DeRulo,Pop,2020,C Minor,150,48,77,-8.52,27,76,2:51,23,8
4,Rockstar,DaBaby &. Roddy Rich,Hip-Hop,2020,B Major,90,69,75,-7.96,10,50,3:01,25,16
5,WAP,Cardi B &. Megan Thee Stallion,Hip-Hop,2020,C# Major,133,45,94,-7.51,8,36,3:07,2,38
6,Dákiti,Bad Bunny &. Jhay Cortez,Latin,2020,E Minor,110,57,73,-10.06,11,15,3:25,40,5
7,Rain On Me,Lady GaGa & Ariana Grande,Dance,2020,A Major,123,86,67,-3.76,32,65,3:02,2,4
8,Positions,Ariana Grande,Pop,2020,C Major,144,80,74,-4.77,9,68,2:52,47,9
9,Mood,24kGoldn &. Iann Dior,Alternative,2021,G Minor,91,72,69,-3.72,30,74,2:20,17,4
10,Therefore I Am,Billie Eilish,Alternative,2020,B Minor,94,34,89,-7.77,6,72,2:54,22,7
,2021,,,,,,,,,,,,,
1,Save Your Tears,The Weeknd,R&B,2020,C Major,118,83,68,-5.49,54,64,3:35,2,3
2,Drivers License,Olivia Rodrigo,Pop,2021,Bb Major,144,44,59,-8.76,11,13,4:04,72,6
3,Peaches,Justin Bieber &. Giveon & Daniel Caesar,Pop,2021,C Major,90,70,68,-6.18,42,46,3:18,32,12
4,Montero (Call Me By Your Name),Lil Nas X,Pop,2021,G# Minor,179,51,61,-6.68,38,76,2:17,30,15
5,On The Ground,Rosé,K-Pop,2021,C# Major,189,61,31,-6.58,13,29,2:48,2,11
6,Butter,BTS,K-Pop,2021,G# Major,110,46,76,5.19,9,70,2:44,0,9
7,Stay,Kid LAROI & Justin Bieber,Alternative,2021,C# Major,170,76,59,-5.48,10,48,2:21,4,5
8,Easy On Me,Adele,Pop,2021,F Major,142,37,60,-7.52,13,13,3:44,58,3
9,Levitating,Dua Lipa,Pop,2020,F# Minor,103,88,70,-2.28,21,91,3:23,6,8
10,Good 4 U,Olivia Rodrigo,Pop,2021,B Minor,167,57,55,-12.29,20,47,2:58,26,28
,2022,,,,,,,,,,,,,
1,As It Was ,Harry Styles,Pop,2022,F# Minor,174,73,52,-5.34,31,66,2:47,34,6
2,Easy On Me,Adele,Pop,2021,F Major,142,37,60,-7.52,13,13,3:44,58,3
3,About Damn Time,Lizzo,Dance,2022,Bb#,119,77,80,-6.64,23,89,3:38,5,12
4,Heat Waves,Glass Animals,Pop,2020,B Major,81,53,76,-6.90,9,53,3:58,44,9
5,Break My Soul,Beyonce,Dance,2022,C# Minor,115,89,69,-5.04,27,85,4:38,6,8
6,Bad Habit,Steve Lacy,R&B,2022,C# Major,169,51,69,-7.10,38,69,3:52,63,4
7,Unholy,Sam Smith & Kim Petras,Pop,2022,D Major,131,47,71,-7.38,27,24,2:36,1,9
8,We Don’t Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz",Film OST,2021,C Minor,206,45,58,-8.52,11,83,3:36,36,8
9,First Class,Jack Harlow,Hip-Hop,2022,G# Major,107,56,91,-6.14,11,32,2:53,3,10
10,Shivers,Ed Sheeran,Pop,2020,D Major,141,86,79,-2.72,4,82,3:27,28,9
,2023,,,,,,,,,,,,,
1,Flowers,Miley Cyrus,Pop,2023,C Major,118,68,71,-4.33,3,65,3:20,6,7
2,Anti-Hero,Taylor Swift,Pop,2022,E Major,97,64,64,-6.57,14,53,3:20,13,5
3,Kill Bill,SZA,R&B,2022,G# Major,89,73,64,-5.75,16,43,2:33,5,4
4,Vampire,Oliva Rodrigo,Pop,2023,F Major,138,53,51,-5.75,31,32,3:39,17,6
5,Paint The Town Red,Doja Cat,Pop,2023,F Major,100,54,87,-8.60,9,73,3:50,27,17
6,Last Night,Morgan Wallen,Country,2023,F# Major,204,68,52,-5.38,4,52,2:43,46,4
7,Cruel Summer,Taylor Swift,Pop,2019,A Major,170,70,55,-5.71,11,-5.71,2:58,12,16
8,I’m Good (Blue),David Guetta & Bebe Rexha,Dance,2022,G Minor,128,97,56,-3.67,37,30,2:55,0,3
9,Escapism,Raye & 070 Shake,Pop,2022,D Major,74,74,54,-5.36,9,25,4:32,14,11
10,Dance The Night,Dua Lipa,Pop,2023,B Minor,110,85,67,-4.93,33,78,2:56,2,5
,2024,,,,,,,,,,,,,
1,Beautiful Things,Benson Boone,Pop,2024,Bb Major,105,47,47,-5.69,14,22,3:00,15,6
2,Espresso,Sabrina Carpenter,Pop,2024,C Major,104,77,70,-5.49,20,66,2:55,13,3
3,Birds Of A Feather,Billie Eilish,Alternative,2024,D Major,105,51,75,-10.17,12,44,3:31,20,4
4,Lose Control,Teddy Swims,Pop,2023,A Major,160,60,56,-4.41,10,24,3:30,20,3
5,Die With A Smile,Lady GaGa & Bruno Mars,Pop,2024,F Minor,158,59,52,-7.78,12,54,4:11,31,3
6,Too Sweet,Hozier,Alternative,2023,Bb Major,117,64,74,-5.45,4,96,4:11,4,4
7,A Bar Song (Tipsy),Shaboozey,Country,2024,A Major,81,72,74,-5.19,17,66,2:51,11,3
8,Gata Only,FloyyMenor &. Cris MJ,Latin,2024,G# Minor,100,50,79,-8.47,9,67,3:42,45,5
9,Cruel Summer,Taylor Swift,Pop,2019,A Major,170,70,55,-5.71,11,-5.71,2:58,12,16
10,Please Please Please,Sabrina Carpenter,Pop,2024,A Major,107,59,67,-6.07,10,58,3:06,27,5
,2025,,,,,,,,,,,,,
1,Die With A Smile,Lady GaGa & Bruno Mars,Pop,2024,F Minor,158,59,52,-7.78,12,54,4:11,31,3
2,Apt.,Rosé & Bruno Mars,Pop,2024,C Minor,149,78,78,-4.48,36,94,2:49,3,26
3,Ordinary,Alex Warren,Pop,2024,D Major,112,68,45,-6.23,6,38,3:06,74,5
4,Golden,"Huntr/x, Ejae, Audrey Nuna & Rei Ami",K-Pop,2025,E Minor,123,69,65,-4.37,19,19,3:14,10,6
5,Birds Of A Feather,Billie Eilish,Alternative,2024,D Major,105,51,75,-10.17,12,44,3:31,20,4
6,That's So True,Gracie Abrams,Pop,2024,C# Major,109,81,55,-4.17,16,37,2:46,21,4
7,Messy,Lola Young,Alternative,2024,A Major,111,55,80,-5.81,12,65,4:44,11,4
8,Beautiful Things,Benson Boone,Pop,2024,Bb Major,105,47,47,-5.69,14,22,3:00,15,6
9,Back To Friends,Sombr,Alternative,2024,C# Major,93,72,44,-2.29,9,24,3:19,0,3
10,Luther,Kendrick Lamar &. SZA,Hip-Hop,2024,D Major,138,58,71,-0.55,25,58,2:57,25,13
